Case #,Date,country_id,state_id, Description , Deaths , Tesla driver , Tesla occupant , Other vehicle , Cyclists/ Peds , TSLA+cycl / peds ,model_id, Autopilot claimed , Verified Tesla Autopilot Deaths , Verified Tesla Autopilot Deaths + All Deaths Reported to NHTSA SGO 
45,5/20/2018,c023,s004, Tesla drives into pond ,1,1,0,0,0,1,m004,,,
40,3/23/2018,c023,s004, Autopilot into highway barrier ,1,1,0,0,0,1,,1,1,1
32,6/25/2017,c023,s004, Tesla strikes Camry ,1,0,0,1,0,0,,,,
28,3/13/2017,c023,s004, Tesla kills pedestrian ,1,0,0,0,1,1,,,,
26,12/20/2016,c023,s004, Tesla kills pedestrian ,1,0,0,0,1,1,m005,,,
22,10/7/2016,c023,s004, Tesla kills motorcyclist ,1,0,0,1,0,0,,,,
19,8/15/2016,c023,s004, Tesla rear ended ,1,0,1,0,0,1,m004,,,
17,7/22/2016,c023,s004, Passat strikes Tesla ,1,0,0,1,0,0,m004,,,
14,4/22/2016,c023,s004, Pedestrian killed in pileup ,1,0,0,0,1,1,m004,,,
9,11/18/2015,c023,s004, Tesla kills pedestrian ,1,0,0,0,1,1,,,,
8,6/22/2015,c023,s004, Tesla drives off cliff ,1,1,0,0,0,1,,,,
7,1/22/2015,c023,s004, Tesla drives off cliff ,1,1,0,0,0,1,m004,,,
6,12/30/2014,c023,s004, Tesla drives off cliff ,1,1,0,0,0,1,,,,
5,7/14/2014,c023,s004, Tesla kills motorcyclist ,1,0,0,1,0,0,,,,
4,7/4/2014,c023,s004, Thief crashes stolen Tesla ,1,1,0,0,0,1,,,,
3,7/4/2014,c023,s004, Tesla rear ends stopped car ,3,0,0,3,0,0,,,,
2,11/2/2013,c023,s004, Tesla kills cyclist ,1,0,0,0,1,1,,,,
1,4/2/2013,c023,s004, Tesla veers into opposite lane ,2,0,0,2,0,0,m004,,,
224,5/17/2022,c023,s005, Fiery crash ,1,1,,,,1,m003,1,,1
143,1/21/2021,c023,s005," Tesla hits car and car crashes, driver later dies ",1,,,1,,,,,,
72,7/21/2019,c023,s006," Tesla drives into office building, kills occupant ",1,0,0,0,1,1,m003,,,
274,10/18/2022,c023,s007," Tesla collides with minivan, engulfed by flames ",4,1,1,2,,2,,,,
271,10/1/2022,c023,s007, Tesla hits tree and catches fire ,1,1,,,,1,,,,
263,8/26/2022,c023,s007, Tesla hits motorcycle ,1,0,,1,,,m003,,1,1
